posting_id,posting_date,date_key,account_code,account_name,account_type,entry_type,amount,currency,reference
65,"2025-11-02",20251102,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",3818.94,"GBP","GL-2025-000065"
66,"2025-06-19",20250619,"REV-100","Operating Revenue","Revenue","Credit",386.42,"GBP","GL-2025-000066"
67,"2024-12-28",20241228,"TAX-100","Corporate & VAT Tax","Tax","Debit",3065.48,"GBP","GL-2025-000067"
68,"2025-08-22",20250822,"COGS-200","Third-Party Infrastructure","COGS","Debit",3451.27,"GBP","GL-2025-000068"
69,"2025-12-20",20251220,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",4291.5,"GBP","GL-2025-000069"
70,"2025-04-08",20250408,"OPEX-100","Salaries & Payroll","Expense","Debit",215.36,"GBP","GL-2025-000070"
71,"2025-07-25",20250725,"REV-100","Operating Revenue","Revenue","Credit",3614.03,"GBP","GL-2025-000071"
72,"2025-09-22",20250922,"COGS-200","Third-Party Infrastructure","COGS","Debit",1582.23,"GBP","GL-2025-000072"
73,"2025-11-08",20251108,"COGS-100","Direct Material Costs","COGS","Debit",4892.09,"GBP","GL-2025-000073"
74,"2025-09-09",20250909,"TAX-100","Corporate & VAT Tax","Tax","Debit",639.17,"GBP","GL-2025-000074"
75,"2025-10-01",20251001,"REV-100","Operating Revenue","Revenue","Credit",4048.33,"GBP","GL-2025-000075"
76,"2025-05-19",20250519,"REV-100","Operating Revenue","Revenue","Credit",3130.78,"GBP","GL-2025-000076"
77,"2025-07-13",20250713,"REV-100","Operating Revenue","Revenue","Credit",3514.1,"GBP","GL-2025-000077"
78,"2024-07-12",20240712,"TAX-100","Corporate & VAT Tax","Tax","Debit",3494.82,"GBP","GL-2025-000078"
79,"2024-03-01",20240301,"REV-100","Operating Revenue","Revenue","Credit",225.6,"GBP","GL-2025-000079"
80,"2025-10-24",20251024,"REV-100","Operating Revenue","Revenue","Credit",4440.58,"GBP","GL-2025-000080"
81,"2024-11-08",20241108,"COGS-100","Direct Material Costs","COGS","Debit",2644.46,"GBP","GL-2025-000081"
82,"2025-07-28",20250728,"TAX-100","Corporate & VAT Tax","Tax","Debit",754.71,"GBP","GL-2025-000082"
83,"2025-03-30",20250330,"OPEX-300","Marketing & Advertising","Expense","Debit",3803.6,"GBP","GL-2025-000083"
84,"2024-03-24",20240324,"REV-100","Operating Revenue","Revenue","Credit",210.37,"GBP","GL-2025-000084"
85,"2026-04-24",20260424,"COGS-200","Third-Party Infrastructure","COGS","Debit",2928.07,"GBP","GL-2025-000085"
86,"2025-07-09",20250709,"OPEX-100","Salaries & Payroll","Expense","Debit",2885.92,"GBP","GL-2025-000086"
87,"2025-02-01",20250201,"TAX-100","Corporate & VAT Tax","Tax","Debit",4582.18,"GBP","GL-2025-000087"
88,"2024-10-02",20241002,"OPEX-200","Office Lease & Utilities","Expense","Debit",3476.25,"GBP","GL-2025-000088"
89,"2024-11-21",20241121,"OPEX-300","Marketing & Advertising","Expense","Debit",2837.25,"GBP","GL-2025-000089"
90,"2024-09-28",20240928,"OPEX-200","Office Lease & Utilities","Expense","Debit",570.12,"GBP","GL-2025-000090"
91,"2025-01-13",20250113,"OPEX-300","Marketing & Advertising","Expense","Debit",1366.58,"GBP","GL-2025-000091"
92,"2025-11-14",20251114,"COGS-100","Direct Material Costs","COGS","Debit",2851.41,"GBP","GL-2025-000092"
93,"2024-10-27",20241027,"OPEX-300","Marketing & Advertising","Expense","Debit",3746.11,"GBP","GL-2025-000093"
94,"2025-09-11",20250911,"TAX-100","Corporate & VAT Tax","Tax","Debit",3373.84,"GBP","GL-2025-000094"
95,"2024-11-25",20241125,"OPEX-300","Marketing & Advertising","Expense","Debit",633.8,"GBP","GL-2025-000095"
96,"2024-03-04",20240304,"COGS-100","Direct Material Costs","COGS","Debit",398.78,"GBP","GL-2025-000096"
97,"2025-10-20",20251020,"REV-200","Services Revenue","Revenue","Credit",598.37,"GBP","GL-2025-000097"
98,"2025-08-03",20250803,"COGS-100","Direct Material Costs","COGS","Debit",4699.98,"GBP","GL-2025-000098"
99,"2024-07-03",20240703,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1570.28,"GBP","GL-2025-000099"
100,"2026-02-19",20260219,"OPEX-100","Salaries & Payroll","Expense","Debit",4200.92,"GBP","GL-2025-000100"
101,"2026-05-24",20260524,"TAX-100","Corporate & VAT Tax","Tax","Debit",4877.24,"GBP","GL-2025-000101"
102,"2024-03-22",20240322,"REV-200","Services Revenue","Revenue","Credit",2089.98,"GBP","GL-2025-000102"
103,"2026-05-22",20260522,"OPEX-200","Office Lease & Utilities","Expense","Debit",181.51,"GBP","GL-2025-000103"
104,"2024-02-10",20240210,"COGS-200","Third-Party Infrastructure","COGS","Debit",238.39,"GBP","GL-2025-000104"
105,"2024-12-14",20241214,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1345.31,"GBP","GL-2025-000105"
106,"2024-03-27",20240327,"REV-200","Services Revenue","Revenue","Credit",3791.7,"GBP","GL-2025-000106"
107,"2024-01-12",20240112,"REV-100","Operating Revenue","Revenue","Credit",1812.86,"GBP","GL-2025-000107"
108,"2024-04-01",20240401,"OPEX-300","Marketing & Advertising","Expense","Debit",3017.77,"GBP","GL-2025-000108"
109,"2025-09-23",20250923,"OPEX-200","Office Lease & Utilities","Expense","Debit",1829.72,"GBP","GL-2025-000109"
110,"2026-02-26",20260226,"REV-100","Operating Revenue","Revenue","Credit",3624.22,"GBP","GL-2025-000110"
111,"2025-05-09",20250509,"TAX-100","Corporate & VAT Tax","Tax","Debit",345.82,"GBP","GL-2025-000111"
112,"2026-05-09",20260509,"TAX-100","Corporate & VAT Tax","Tax","Debit",3051.38,"GBP","GL-2025-000112"
113,"2025-11-20",20251120,"REV-100","Operating Revenue","Revenue","Credit",1717.45,"GBP","GL-2025-000113"
114,"2025-03-26",20250326,"COGS-200","Third-Party Infrastructure","COGS","Debit",1234.43,"GBP","GL-2025-000114"
115,"2025-03-11",20250311,"OPEX-200","Office Lease & Utilities","Expense","Debit",1010.56,"GBP","GL-2025-000115"
116,"2025-05-08",20250508,"REV-100","Operating Revenue","Revenue","Credit",2685.64,"GBP","GL-2025-000116"
117,"2025-02-04",20250204,"REV-100","Operating Revenue","Revenue","Credit",3962.53,"GBP","GL-2025-000117"
118,"2025-01-06",20250106,"COGS-200","Third-Party Infrastructure","COGS","Debit",3117.08,"GBP","GL-2025-000118"
119,"2025-09-30",20250930,"OPEX-200","Office Lease & Utilities","Expense","Debit",4542.83,"GBP","GL-2025-000119"
120,"2025-10-13",20251013,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1077.7,"GBP","GL-2025-000120"
121,"2025-09-17",20250917,"COGS-200","Third-Party Infrastructure","COGS","Debit",1200.57,"GBP","GL-2025-000121"
122,"2026-01-21",20260121,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",4817.76,"GBP","GL-2025-000122"
123,"2025-01-21",20250121,"TAX-100","Corporate & VAT Tax","Tax","Debit",4842.48,"GBP","GL-2025-000123"
124,"2025-01-11",20250111,"TAX-100","Corporate & VAT Tax","Tax","Debit",2852.22,"GBP","GL-2025-000124"
125,"2024-06-11",20240611,"COGS-100","Direct Material Costs","COGS","Debit",1836.28,"GBP","GL-2025-000125"
126,"2024-06-05",20240605,"REV-200","Services Revenue","Revenue","Credit",1315.72,"GBP","GL-2025-000126"
127,"2024-12-30",20241230,"REV-100","Operating Revenue","Revenue","Credit",2946.94,"GBP","GL-2025-000127"
128,"2025-06-07",20250607,"COGS-200","Third-Party Infrastructure","COGS","Debit",4418.3,"GBP","GL-2025-000128"
129,"2026-03-08",20260308,"REV-100","Operating Revenue","Revenue","Credit",2566.24,"GBP","GL-2025-000129"
130,"2024-02-08",20240208,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",4261.88,"GBP","GL-2025-000130"
131,"2026-01-27",20260127,"REV-100","Operating Revenue","Revenue","Credit",4173.85,"GBP","GL-2025-000131"
132,"2026-02-07",20260207,"OPEX-200","Office Lease & Utilities","Expense","Debit",4168.25,"GBP","GL-2025-000132"
133,"2025-09-23",20250923,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",2315.04,"GBP","GL-2025-000133"
134,"2025-12-16",20251216,"OPEX-200","Office Lease & Utilities","Expense","Debit",970.98,"GBP","GL-2025-000134"
135,"2025-07-07",20250707,"COGS-200","Third-Party Infrastructure","COGS","Debit",1694.36,"GBP","GL-2025-000135"
136,"2025-03-25",20250325,"COGS-200","Third-Party Infrastructure","COGS","Debit",5099.48,"GBP","GL-2025-000136"
137,"2024-05-25",20240525,"COGS-100","Direct Material Costs","COGS","Debit",2448.54,"GBP","GL-2025-000137"
138,"2025-06-10",20250610,"OPEX-100","Salaries & Payroll","Expense","Debit",1984.48,"GBP","GL-2025-000138"
139,"2025-03-23",20250323,"REV-100","Operating Revenue","Revenue","Credit",5014.54,"GBP","GL-2025-000139"
140,"2024-11-11",20241111,"OPEX-200","Office Lease & Utilities","Expense","Debit",670.3,"GBP","GL-2025-000140"
141,"2024-02-29",20240229,"REV-100","Operating Revenue","Revenue","Credit",5094.6,"GBP","GL-2025-000141"
142,"2025-02-25",20250225,"REV-200","Services Revenue","Revenue","Credit",2061.45,"GBP","GL-2025-000142"
143,"2024-02-03",20240203,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",5057.62,"GBP","GL-2025-000143"
144,"2026-01-11",20260111,"COGS-100","Direct Material Costs","COGS","Debit",551.49,"GBP","GL-2025-000144"
145,"2025-08-15",20250815,"COGS-200","Third-Party Infrastructure","COGS","Debit",2351.31,"GBP","GL-2025-000145"
146,"2025-08-13",20250813,"OPEX-200","Office Lease & Utilities","Expense","Debit",280.31,"GBP","GL-2025-000146"
147,"2025-11-12",20251112,"OPEX-300","Marketing & Advertising","Expense","Debit",915.09,"GBP","GL-2025-000147"
148,"2024-05-16",20240516,"REV-100","Operating Revenue","Revenue","Credit",898.9,"GBP","GL-2025-000148"
149,"2025-03-29",20250329,"OPEX-200","Office Lease & Utilities","Expense","Debit",1018.43,"GBP","GL-2025-000149"
150,"2025-01-21",20250121,"COGS-100","Direct Material Costs","COGS","Debit",2396.68,"GBP","GL-2025-000150"
151,"2024-11-26",20241126,"REV-200","Services Revenue","Revenue","Credit",1082.33,"GBP","GL-2025-000151"
152,"2026-01-23",20260123,"REV-200","Services Revenue","Revenue","Credit",1633.38,"GBP","GL-2025-000152"
153,"2026-01-09",20260109,"OPEX-300","Marketing & Advertising","Expense","Debit",1812.74,"GBP","GL-2025-000153"
154,"2026-06-04",20260604,"OPEX-100","Salaries & Payroll","Expense","Debit",1270.08,"GBP","GL-2025-000154"
155,"2025-03-09",20250309,"TAX-100","Corporate & VAT Tax","Tax","Debit",2119.16,"GBP","GL-2025-000155"
156,"2025-06-18",20250618,"REV-100","Operating Revenue","Revenue","Credit",4044.54,"GBP","GL-2025-000156"
157,"2024-12-02",20241202,"REV-200","Services Revenue","Revenue","Credit",3961.74,"GBP","GL-2025-000157"
158,"2024-09-05",20240905,"TAX-100","Corporate & VAT Tax","Tax","Debit",1512.09,"GBP","GL-2025-000158"
159,"2026-03-28",20260328,"COGS-200","Third-Party Infrastructure","COGS","Debit",4942.12,"GBP","GL-2025-000159"
160,"2025-11-17",20251117,"COGS-200","Third-Party Infrastructure","COGS","Debit",1513.17,"GBP","GL-2025-000160"
161,"2026-05-07",20260507,"OPEX-200","Office Lease & Utilities","Expense","Debit",2085.42,"GBP","GL-2025-000161"
162,"2025-06-13",20250613,"REV-200","Services Revenue","Revenue","Credit",4956.58,"GBP","GL-2025-000162"
163,"2025-05-31",20250531,"TAX-100","Corporate & VAT Tax","Tax","Debit",4611.5,"GBP","GL-2025-000163"
164,"2026-04-30",20260430,"REV-200","Services Revenue","Revenue","Credit",2400.82,"GBP","GL-2025-000164"
165,"2025-11-22",20251122,"COGS-200","Third-Party Infrastructure","COGS","Debit",2900.28,"GBP","GL-2025-000165"
166,"2024-03-23",20240323,"TAX-100","Corporate & VAT Tax","Tax","Debit",4499.27,"GBP","GL-2025-000166"
167,"2024-02-05",20240205,"OPEX-200","Office Lease & Utilities","Expense","Debit",4928.27,"GBP","GL-2025-000167"
168,"2024-10-31",20241031,"TAX-100","Corporate & VAT Tax","Tax","Debit",2141.86,"GBP","GL-2025-000168"
169,"2024-03-12",20240312,"OPEX-300","Marketing & Advertising","Expense","Debit",2062.43,"GBP","GL-2025-000169"
170,"2024-04-10",20240410,"OPEX-200","Office Lease & Utilities","Expense","Debit",547.96,"GBP","GL-2025-000170"
171,"2026-05-21",20260521,"COGS-200","Third-Party Infrastructure","COGS","Debit",2091.43,"GBP","GL-2025-000171"
172,"2026-03-16",20260316,"REV-200","Services Revenue","Revenue","Credit",764.23,"GBP","GL-2025-000172"
173,"2024-07-21",20240721,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",546.42,"GBP","GL-2025-000173"
174,"2026-03-26",20260326,"TAX-100","Corporate & VAT Tax","Tax","Debit",2060.05,"GBP","GL-2025-000174"
175,"2026-02-23",20260223,"TAX-100","Corporate & VAT Tax","Tax","Debit",4444.07,"GBP","GL-2025-000175"
176,"2024-07-03",20240703,"OPEX-100","Salaries & Payroll","Expense","Debit",4661.54,"GBP","GL-2025-000176"
177,"2026-01-26",20260126,"COGS-200","Third-Party Infrastructure","COGS","Debit",465.99,"GBP","GL-2025-000177"
178,"2025-04-22",20250422,"COGS-100","Direct Material Costs","COGS","Debit",3578.33,"GBP","GL-2025-000178"
179,"2025-11-23",20251123,"COGS-200","Third-Party Infrastructure","COGS","Debit",4182.55,"GBP","GL-2025-000179"
180,"2024-04-30",20240430,"OPEX-200","Office Lease & Utilities","Expense","Debit",2481.32,"GBP","GL-2025-000180"
181,"2025-07-07",20250707,"REV-100","Operating Revenue","Revenue","Credit",3778.97,"GBP","GL-2025-000181"
182,"2024-04-01",20240401,"OPEX-200","Office Lease & Utilities","Expense","Debit",366.36,"GBP","GL-2025-000182"
183,"2025-03-09",20250309,"COGS-200","Third-Party Infrastructure","COGS","Debit",3482.07,"GBP","GL-2025-000183"
184,"2024-09-21",20240921,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",3191.81,"GBP","GL-2025-000184"
185,"2026-06-06",20260606,"COGS-100","Direct Material Costs","COGS","Debit",796.21,"GBP","GL-2025-000185"
186,"2024-02-12",20240212,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",1367.71,"GBP","GL-2025-000186"
187,"2026-01-22",20260122,"REV-200","Services Revenue","Revenue","Credit",4776.19,"GBP","GL-2025-000187"
188,"2026-04-26",20260426,"COGS-100","Direct Material Costs","COGS","Debit",1074.64,"GBP","GL-2025-000188"
189,"2025-04-26",20250426,"REV-100","Operating Revenue","Revenue","Credit",771.75,"GBP","GL-2025-000189"
190,"2024-04-15",20240415,"COGS-200","Third-Party Infrastructure","COGS","Debit",4868.37,"GBP","GL-2025-000190"
191,"2024-05-19",20240519,"OPEX-200","Office Lease & Utilities","Expense","Debit",2370.63,"GBP","GL-2025-000191"
192,"2026-05-18",20260518,"COGS-200","Third-Party Infrastructure","COGS","Debit",632.77,"GBP","GL-2025-000192"
193,"2025-12-17",20251217,"OPEX-200","Office Lease & Utilities","Expense","Debit",3248.12,"GBP","GL-2025-000193"
194,"2024-06-28",20240628,"COGS-100","Direct Material Costs","COGS","Debit",4337.88,"GBP","GL-2025-000194"
195,"2024-11-20",20241120,"COGS-200","Third-Party Infrastructure","COGS","Debit",4046.98,"GBP","GL-2025-000195"
196,"2026-06-10",20260610,"REV-100","Operating Revenue","Revenue","Credit",3830.77,"GBP","GL-2025-000196"
197,"2025-12-17",20251217,"TAX-100","Corporate & VAT Tax","Tax","Debit",2041.45,"GBP","GL-2025-000197"
198,"2024-08-08",20240808,"COGS-100","Direct Material Costs","COGS","Debit",702.37,"GBP","GL-2025-000198"
199,"2024-09-08",20240908,"REV-100","Operating Revenue","Revenue","Credit",4807.37,"GBP","GL-2025-000199"
200,"2025-06-10",20250610,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",3138,"GBP","GL-2025-000200"
201,"2024-01-31",20240131,"COGS-100","Direct Material Costs","COGS","Debit",988.62,"GBP","GL-2025-000201"
202,"2026-06-20",20260620,"OPEX-200","Office Lease & Utilities","Expense","Debit",4738.91,"GBP","GL-2025-000202"
203,"2025-03-16",20250316,"TAX-100","Corporate & VAT Tax","Tax","Debit",2106.97,"GBP","GL-2025-000203"
204,"2025-06-14",20250614,"OPEX-100","Salaries & Payroll","Expense","Debit",1203.48,"GBP","GL-2025-000204"
205,"2024-06-12",20240612,"TAX-100","Corporate & VAT Tax","Tax","Debit",3256.82,"GBP","GL-2025-000205"
206,"2025-11-23",20251123,"REV-200","Services Revenue","Revenue","Credit",3705.57,"GBP","GL-2025-000206"
207,"2026-05-10",20260510,"COGS-200","Third-Party Infrastructure","COGS","Debit",323.1,"GBP","GL-2025-000207"
208,"2026-01-17",20260117,"COGS-100","Direct Material Costs","COGS","Debit",4527.19,"GBP","GL-2025-000208"
209,"2026-02-02",20260202,"OPEX-200","Office Lease & Utilities","Expense","Debit",1713.39,"GBP","GL-2025-000209"
210,"2025-03-11",20250311,"COGS-200","Third-Party Infrastructure","COGS","Debit",3078.78,"GBP","GL-2025-000210"
211,"2024-03-29",20240329,"REV-100","Operating Revenue","Revenue","Credit",1356.73,"GBP","GL-2025-000211"
212,"2024-07-29",20240729,"REV-100","Operating Revenue","Revenue","Credit",1231.36,"GBP","GL-2025-000212"
213,"2025-09-03",20250903,"OPEX-100","Salaries & Payroll","Expense","Debit",3890.55,"GBP","GL-2025-000213"
214,"2024-11-22",20241122,"REV-200","Services Revenue","Revenue","Credit",2801.02,"GBP","GL-2025-000214"
215,"2025-03-31",20250331,"COGS-100","Direct Material Costs","COGS","Debit",1963.82,"GBP","GL-2025-000215"
216,"2024-05-26",20240526,"COGS-100","Direct Material Costs","COGS","Debit",4371.39,"GBP","GL-2025-000216"
217,"2024-10-23",20241023,"OPEX-100","Salaries & Payroll","Expense","Debit",4048.2,"GBP","GL-2025-000217"
218,"2025-09-18",20250918,"OPEX-100","Salaries & Payroll","Expense","Debit",3713.81,"GBP","GL-2025-000218"
219,"2026-02-09",20260209,"TAX-100","Corporate & VAT Tax","Tax","Debit",597.99,"GBP","GL-2025-000219"
220,"2024-02-03",20240203,"OPEX-200","Office Lease & Utilities","Expense","Debit",2060.43,"GBP","GL-2025-000220"
221,"2024-07-14",20240714,"OPEX-200","Office Lease & Utilities","Expense","Debit",872.98,"GBP","GL-2025-000221"
222,"2025-11-21",20251121,"OPEX-400","Software Subscriptions & Cloud","Expense","Debit",3096.17,"GBP","GL-2025-000222"
223,"2025-10-14",20251014,"TAX-100","Corporate & VAT Tax","Tax","Debit",2710.77,"GBP","GL-2025-000223"
224,"2024-03-20",20240320,"OPEX-200","Office Lease & Utilities","Expense","Debit",4593.65,"GBP","GL-2025-000224"
225,"2026-03-27",20260327,"COGS-100","Direct Material Costs","COGS","Debit",2375.36,"GBP","GL-2025-000225"
226,"2026-05-29",20260529,"OPEX-300","Marketing & Advertising","Expense","Debit",191.95,"GBP","GL-2025-000226"
227,"2024-02-17",20240217,"COGS-100","Direct Material Costs","COGS","Debit",4847.47,"GBP","GL-2025-000227"
228,"2026-03-02",20260302,"TAX-100","Corporate & VAT Tax","Tax","Debit",1912.97,"GBP","GL-2025-000228"
229,"2024-09-25",20240925,"REV-100","Operating Revenue","Revenue","Credit",854.62,"GBP","GL-2025-000229"
230,"2026-04-03",20260403,"COGS-100","Direct Material Costs","COGS","Debit",803.11,"GBP","GL-2025-000230"
231,"2026-05-20",20260520,"TAX-100","Corporate & VAT Tax","Tax","Debit",827.44,"GBP","GL-2025-000231"
232,"2026-04-30",20260430,"OPEX-100","Salaries & Payroll","Expense","Debit",3361.81,"GBP","GL-2025-000232"
233,"2024-02-20",20240220,"REV-100","Operating Revenue","Revenue","Credit",2711.46,"GBP","GL-2025-000233"
