hr_metric_id,month,date_key,department,headcount,avg_salary,avg_performance_score,total_training_hours,turnover_rate
29,"2024-05",20240501,"Engineering & IT",20,47648,4.7,465.1,0.033
30,"2024-06",20240601,"Engineering & IT",16,44849,4.6,131.7,0.033
31,"2024-07",20240701,"Engineering & IT",20,53149,4.1,670.5,0.039
32,"2024-08",20240801,"Engineering & IT",17,49116,4.3,435.7,0.028
33,"2024-09",20240901,"Engineering & IT",16,42439,4.7,247.4,0.032
34,"2024-10",20241001,"Engineering & IT",19,37293,4.4,191.6,0.03
35,"2024-11",20241101,"Engineering & IT",24,46951,4,142.7,0.036
36,"2024-12",20241201,"Engineering & IT",11,36504,4.5,78.4,0.011
37,"2025-01",20250101,"Engineering & IT",11,51250,4.7,251.3,0.012
38,"2025-02",20250201,"Engineering & IT",24,36879,4.5,278.5,0.028
39,"2025-03",20250301,"Engineering & IT",15,35118,4.2,137.1,0.038
40,"2025-04",20250401,"Engineering & IT",11,44595,4.9,181.9,0.035
41,"2025-05",20250501,"Engineering & IT",14,52350,4.4,431.6,0.023
42,"2025-06",20250601,"Engineering & IT",22,49176,4.7,120.2,0.022
43,"2025-07",20250701,"Engineering & IT",24,53245,3.6,17.3,0.019
44,"2025-08",20250801,"Engineering & IT",20,51267,4.3,249.2,0.017
45,"2025-09",20250901,"Engineering & IT",14,44348,3.6,415.5,0.028
46,"2025-10",20251001,"Engineering & IT",14,39254,4.7,287.9,0.035
47,"2025-11",20251101,"Engineering & IT",17,38505,3.6,137.7,0.024
48,"2025-12",20251201,"Engineering & IT",14,40998,4.4,144.8,0.038
49,"2024-01",20240101,"Finance & Legal",16,35502,3.7,57.8,0.017
50,"2024-02",20240201,"Finance & Legal",12,52545,4.2,177.9,0.024
51,"2024-03",20240301,"Finance & Legal",23,54422,4.2,237.3,0.029
52,"2024-04",20240401,"Finance & Legal",20,36415,4.1,505.1,0.014
53,"2024-05",20240501,"Finance & Legal",19,41270,3.7,677.8,0.024
54,"2024-06",20240601,"Finance & Legal",22,51975,4,824.9,0.029
55,"2024-07",20240701,"Finance & Legal",12,44926,3.7,406.5,0.031
56,"2024-08",20240801,"Finance & Legal",23,36276,3.8,514.2,0.025
57,"2024-09",20240901,"Finance & Legal",13,39408,5,387.7,0.01
58,"2024-10",20241001,"Finance & Legal",19,35886,4.4,602.7,0.035
59,"2024-11",20241101,"Finance & Legal",21,38637,3.6,125.7,0.036
60,"2024-12",20241201,"Finance & Legal",20,40663,4.5,415.8,0.04
61,"2025-01",20250101,"Finance & Legal",21,35207,3.9,89.2,0.011
62,"2025-02",20250201,"Finance & Legal",18,54093,3.9,258.8,0.03
63,"2025-03",20250301,"Finance & Legal",18,41365,4.2,194.9,0.028
64,"2025-04",20250401,"Finance & Legal",13,41483,4.5,6.7,0.01
65,"2025-05",20250501,"Finance & Legal",16,40345,3.8,631.1,0.014
66,"2025-06",20250601,"Finance & Legal",12,54686,3.7,146.1,0.029
67,"2025-07",20250701,"Finance & Legal",18,42059,4.7,651.9,0.026
68,"2025-08",20250801,"Finance & Legal",23,38665,5,862.1,0.033
69,"2025-09",20250901,"Finance & Legal",17,44302,4.3,138.7,0.021
70,"2025-10",20251001,"Finance & Legal",22,52285,4,719.8,0.011
71,"2025-11",20251101,"Finance & Legal",21,47129,4.9,84.5,0.031
72,"2025-12",20251201,"Finance & Legal",24,37929,3.5,76.5,0.026
73,"2024-01",20240101,"Operations & Supply",24,50352,4.8,337.6,0.031
74,"2024-02",20240201,"Operations & Supply",14,47008,3.8,103.3,0.029
75,"2024-03",20240301,"Operations & Supply",15,44194,4.2,237.4,0.03
76,"2024-04",20240401,"Operations & Supply",19,40625,3.9,378.9,0.031
77,"2024-05",20240501,"Operations & Supply",23,51102,4.4,3.8,0.028
78,"2024-06",20240601,"Operations & Supply",23,35291,4.3,303.8,0.034
79,"2024-07",20240701,"Operations & Supply",12,47410,4.9,377.7,0.029
80,"2024-08",20240801,"Operations & Supply",20,49981,3.7,369.4,0.029
81,"2024-09",20240901,"Operations & Supply",11,39133,4.7,26.9,0.012
82,"2024-10",20241001,"Operations & Supply",17,49730,4.7,528.3,0.03
83,"2024-11",20241101,"Operations & Supply",20,52417,4.4,173.5,0.014
84,"2024-12",20241201,"Operations & Supply",11,49204,3.6,311.8,0.031
85,"2025-01",20250101,"Operations & Supply",18,53515,4.7,631.2,0.037
86,"2025-02",20250201,"Operations & Supply",21,48975,4.8,477.5,0.04
87,"2025-03",20250301,"Operations & Supply",21,43063,4.9,703.9,0.024
88,"2025-04",20250401,"Operations & Supply",23,43772,4.8,477.5,0.025
89,"2025-05",20250501,"Operations & Supply",23,54098,4.2,167.7,0.038
90,"2025-06",20250601,"Operations & Supply",14,45527,4.1,210.4,0.028
91,"2025-07",20250701,"Operations & Supply",12,44162,4.7,403.2,0.013
92,"2025-08",20250801,"Operations & Supply",23,46481,4.4,121.9,0.015
93,"2025-09",20250901,"Operations & Supply",14,43806,4.7,212.4,0.03
94,"2025-10",20251001,"Operations & Supply",10,50920,4.1,386.7,0.01
95,"2025-11",20251101,"Operations & Supply",12,46987,4.6,190.3,0.022
96,"2025-12",20251201,"Operations & Supply",13,52532,4.1,250.2,0.038
97,"2024-01",20240101,"Human Resources",16,52888,4.6,152.3,0.023
98,"2024-02",20240201,"Human Resources",12,36536,4.8,291,0.018
99,"2024-03",20240301,"Human Resources",10,45198,4.3,229.5,0.035
100,"2024-04",20240401,"Human Resources",19,43002,4.1,288.3,0.021
101,"2024-05",20240501,"Human Resources",11,48295,4.8,203.8,0.026
102,"2024-06",20240601,"Human Resources",24,52886,3.8,795.5,0.028
103,"2024-07",20240701,"Human Resources",18,43526,3.6,451.5,0.032
104,"2024-08",20240801,"Human Resources",15,37004,4.8,277.9,0.016
105,"2024-09",20240901,"Human Resources",20,43662,4.6,46,0.026
106,"2024-10",20241001,"Human Resources",21,50495,4.5,676.9,0.029
107,"2024-11",20241101,"Human Resources",21,39595,4.2,832.7,0.022
108,"2024-12",20241201,"Human Resources",13,49413,4,437.9,0.025
109,"2025-01",20250101,"Human Resources",22,36332,4.1,187.6,0.013
110,"2025-02",20250201,"Human Resources",24,54822,4.2,637.2,0.032
111,"2025-03",20250301,"Human Resources",13,42733,4,484.5,0.021
112,"2025-04",20250401,"Human Resources",10,47226,4.9,3.4,0.036
113,"2025-05",20250501,"Human Resources",17,49840,4.3,89.3,0.036
114,"2025-06",20250601,"Human Resources",22,46191,3.7,855,0.018
115,"2025-07",20250701,"Human Resources",10,50945,4.4,384.7,0.017
116,"2025-08",20250801,"Human Resources",19,45066,4.3,387,0.018
117,"2025-09",20250901,"Human Resources",23,52331,4.5,827.6,0.029
118,"2025-10",20251001,"Human Resources",16,35091,3.6,258.3,0.022
119,"2025-11",20251101,"Human Resources",23,50828,4.7,549.5,0.011
120,"2025-12",20251201,"Human Resources",15,53173,5,473.1,0.019
