customer_id,customer_code,pseudonymised_name,pseudonymised_email,region,customer_tier,created_at
86,"CUST-00086","Client_Hash_5bd7fd66b3b2d7bc","usr_3e6cdcda163c86b3@anon.sme","Edinburgh","Gold","2024-01-15 10:00:00"
87,"CUST-00087","Client_Hash_b402b202b39dc7bb","usr_df985301779706b0@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
88,"CUST-00088","Client_Hash_36691c042084c2b5","usr_502818b4e7a1dc18@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
89,"CUST-00089","Client_Hash_b8be6fdd5bedb2b6","usr_9bf087f8703f0588@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
90,"CUST-00090","Client_Hash_a54f4022aa54ab69","usr_5abc51cb267e45b6@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
91,"CUST-00091","Client_Hash_e523affbaef47d7e","usr_3b0f64680a3db845@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
92,"CUST-00092","Client_Hash_9f123fa9d6bfa488","usr_5583bb20d8ef540f@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
93,"CUST-00093","Client_Hash_f4ee1655f71f497f","usr_62a2d00eddd76f67@anon.sme","Birmingham","Gold","2024-01-15 10:00:00"
94,"CUST-00094","Client_Hash_25b4369b1c71908c","usr_2ce0aa4a8c00c988@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
95,"CUST-00095","Client_Hash_9172d3a5e5397216","usr_c0a5d787624a5758@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
96,"CUST-00096","Client_Hash_265c9d56231dd0eb","usr_34a319c017b7481c@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
97,"CUST-00097","Client_Hash_aba3e02efd115abb","usr_453dcdac52d7782c@anon.sme","Bristol","Silver","2024-01-15 10:00:00"
98,"CUST-00098","Client_Hash_74c7f0b8d73380d7","usr_bf533045afecd727@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
99,"CUST-00099","Client_Hash_64f5283adee97558","usr_b186169f040a52bb@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
100,"CUST-00100","Client_Hash_6cb86c7448c15f8a","usr_f98f9e0dabab3eac@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
101,"CUST-00101","Client_Hash_40c42fef9185839a","usr_f500e5628776fd6d@anon.sme","Birmingham","Standard","2024-01-15 10:00:00"
102,"CUST-00102","Client_Hash_d2049e036cb83e07","usr_9d71d831fc7eebfe@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
103,"CUST-00103","Client_Hash_8225fdff5cb009e0","usr_6fc2a1d2fcd806a4@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
104,"CUST-00104","Client_Hash_c2d43a50fee91a75","usr_e9a9a3f1fca847c7@anon.sme","Edinburgh","Gold","2024-01-15 10:00:00"
105,"CUST-00105","Client_Hash_3856ff75f8564f60","usr_7819fc2a8c94e7a2@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
106,"CUST-00106","Client_Hash_cd102213f2847954","usr_c1dbaf052bbc776d@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
107,"CUST-00107","Client_Hash_114e2cfa73e274ed","usr_3608fac1f2ab8372@anon.sme","London","Standard","2024-01-15 10:00:00"
108,"CUST-00108","Client_Hash_86e9559ea46cab97","usr_96f624aa4570cea8@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
109,"CUST-00109","Client_Hash_fccc53b26264d7b5","usr_bbea14d15c50ffa6@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
110,"CUST-00110","Client_Hash_8d9c78acd54abbe7","usr_e3c59ff2d1468dc0@anon.sme","London","Platinum","2024-01-15 10:00:00"
111,"CUST-00111","Client_Hash_20e595ba7b047b9d","usr_2024d4b53859a48e@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
112,"CUST-00112","Client_Hash_e499d3e78e8f30f7","usr_24bd109b7d9d91b8@anon.sme","Birmingham","Gold","2024-01-15 10:00:00"
113,"CUST-00113","Client_Hash_b57a2a4d818210bd","usr_21c2e9acdc3b66d8@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
114,"CUST-00114","Client_Hash_f061d039f1888a6d","usr_5afe1f68b116ba1f@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
115,"CUST-00115","Client_Hash_814f1f2b4d4d4975","usr_3334dbd2f9ea7ca0@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
116,"CUST-00116","Client_Hash_7a1dc6de10a35217","usr_76c8fd5c8874ab19@anon.sme","Leeds","Platinum","2024-01-15 10:00:00"
117,"CUST-00117","Client_Hash_a09f1994ef8c4197","usr_53761e66fd978123@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
118,"CUST-00118","Client_Hash_867e10b2af42f7b9","usr_5a2cb1e9620e0653@anon.sme","London","Gold","2024-01-15 10:00:00"
119,"CUST-00119","Client_Hash_96c003808eefe206","usr_a6e4312651cdce0d@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
120,"CUST-00120","Client_Hash_f1d7241e5448d4bd","usr_57b9c48f78d0290c@anon.sme","Birmingham","Gold","2024-01-15 10:00:00"
121,"CUST-00121","Client_Hash_bd94feb2a366745a","usr_baf858404b9f7af1@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
122,"CUST-00122","Client_Hash_695017e8741e7317","usr_30bdfac3b9b0ef0b@anon.sme","London","Standard","2024-01-15 10:00:00"
123,"CUST-00123","Client_Hash_4ae97075d3fdfad4","usr_45aac1ce42183694@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
124,"CUST-00124","Client_Hash_120cdd3393ad1bd3","usr_da54b81ea960f1cc@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
125,"CUST-00125","Client_Hash_d08f293a3f05f365","usr_b21c223fd3f3879a@anon.sme","Glasgow","Platinum","2024-01-15 10:00:00"
126,"CUST-00126","Client_Hash_209d6dad933d9934","usr_b433240c6edaeac9@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
127,"CUST-00127","Client_Hash_aee84c46b8c893ab","usr_cb496e3422fe1c7c@anon.sme","Manchester","Standard","2024-01-15 10:00:00"
128,"CUST-00128","Client_Hash_ffb8de0a34fd244b","usr_278e8d5836861c22@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
129,"CUST-00129","Client_Hash_c47284d7d17b28d6","usr_1cd122243f4ad571@anon.sme","London","Standard","2024-01-15 10:00:00"
130,"CUST-00130","Client_Hash_40193b91840285b1","usr_e44a21f641bcc1d8@anon.sme","Bristol","Silver","2024-01-15 10:00:00"
131,"CUST-00131","Client_Hash_cd4db3af372b6e2c","usr_40a2a78e2c0a14db@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
132,"CUST-00132","Client_Hash_2e11dce4320362ab","usr_953b05cd2ecf18a2@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
133,"CUST-00133","Client_Hash_ecd14dce7c9efc99","usr_a58e32c419275977@anon.sme","London","Silver","2024-01-15 10:00:00"
134,"CUST-00134","Client_Hash_3b2fa2446a531b2c","usr_173ff8934cbbb69c@anon.sme","Edinburgh","Gold","2024-01-15 10:00:00"
135,"CUST-00135","Client_Hash_627073fc22f65f2f","usr_41b9b1a15996f4a8@anon.sme","Glasgow","Standard","2024-01-15 10:00:00"
136,"CUST-00136","Client_Hash_b85da1d2ec8e6103","usr_64ff9f971a342da3@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
137,"CUST-00137","Client_Hash_614bb76cb5915d82","usr_d20695c26d8ba12e@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
138,"CUST-00138","Client_Hash_cb1ab61bedf80a19","usr_ac4fae501b3f5b97@anon.sme","Glasgow","Silver","2024-01-15 10:00:00"
139,"CUST-00139","Client_Hash_f838b125c45a1da6","usr_4331e4fc711aafa8@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
140,"CUST-00140","Client_Hash_c0f97e66a2abf335","usr_a12d6d0c47cabaf3@anon.sme","Edinburgh","Gold","2024-01-15 10:00:00"
141,"CUST-00141","Client_Hash_69761037f06227d5","usr_5a3e0bb34086a897@anon.sme","London","Platinum","2024-01-15 10:00:00"
142,"CUST-00142","Client_Hash_37650422fff7027b","usr_28be906a11e02228@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
143,"CUST-00143","Client_Hash_e4c2d17c0ed41799","usr_4c1d56d94f44911f@anon.sme","Leeds","Silver","2024-01-15 10:00:00"
144,"CUST-00144","Client_Hash_160bb5eaa395c07f","usr_ae8d544d065d38c6@anon.sme","Glasgow","Standard","2024-01-15 10:00:00"
145,"CUST-00145","Client_Hash_120e0ce9860ea066","usr_c2276ce3b99897d4@anon.sme","London","Platinum","2024-01-15 10:00:00"
146,"CUST-00146","Client_Hash_2fe67f8cd168f5bc","usr_d3bd7f47642bb0d3@anon.sme","Birmingham","Platinum","2024-01-15 10:00:00"
147,"CUST-00147","Client_Hash_ea03885068deb8b3","usr_789a24918b799076@anon.sme","London","Platinum","2024-01-15 10:00:00"
148,"CUST-00148","Client_Hash_8c9343c1ecaa1259","usr_76dca52c7650f661@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
149,"CUST-00149","Client_Hash_8f3b9a5640d7380c","usr_bcc04ee6a087fe18@anon.sme","Glasgow","Standard","2024-01-15 10:00:00"
150,"CUST-00150","Client_Hash_96f42eea1daa5637","usr_d79913a5e5746330@anon.sme","Birmingham","Gold","2024-01-15 10:00:00"
151,"CUST-00151","Client_Hash_a901da146de57c4c","usr_a8a2f387925e3f3c@anon.sme","Manchester","Standard","2024-01-15 10:00:00"
152,"CUST-00152","Client_Hash_4e8c7908b4f3adbb","usr_2f60f830e3444cdd@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
153,"CUST-00153","Client_Hash_6396d063841805d7","usr_472328e9a6e31a09@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
154,"CUST-00154","Client_Hash_12db1091c84a3cf7","usr_4da5814d12728306@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
155,"CUST-00155","Client_Hash_466c994e7b674717","usr_701a56bcccc6169e@anon.sme","London","Platinum","2024-01-15 10:00:00"
156,"CUST-00156","Client_Hash_6420e47e542258aa","usr_5ee4e27be8c29e05@anon.sme","Birmingham","Platinum","2024-01-15 10:00:00"
157,"CUST-00157","Client_Hash_9167d08d829f32b5","usr_4105f4ba68abf666@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
158,"CUST-00158","Client_Hash_7f3d40ed3c1c526b","usr_c92983410092165d@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
159,"CUST-00159","Client_Hash_c59ecd64db69c914","usr_ec5b0b225780600b@anon.sme","Glasgow","Silver","2024-01-15 10:00:00"
160,"CUST-00160","Client_Hash_a37aab9507404832","usr_53f5cd079d2877ff@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
161,"CUST-00161","Client_Hash_441ae2d0b665506b","usr_b8f5cd9178ca9147@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
162,"CUST-00162","Client_Hash_c70926c93eb67dcc","usr_8438fa60e767abc9@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
163,"CUST-00163","Client_Hash_a22cec7f2a26c9e0","usr_5ae843904483a4b7@anon.sme","Edinburgh","Standard","2024-01-15 10:00:00"
164,"CUST-00164","Client_Hash_502696efb1902f1d","usr_2be16a073e0d930e@anon.sme","Leeds","Silver","2024-01-15 10:00:00"
165,"CUST-00165","Client_Hash_db1e6dba9a565183","usr_d80188bf86f83d2a@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
166,"CUST-00166","Client_Hash_9768517fe0d76e26","usr_7fc29cace01bf63c@anon.sme","Leeds","Silver","2024-01-15 10:00:00"
167,"CUST-00167","Client_Hash_616d35b305eb6120","usr_87b894c81d238681@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
168,"CUST-00168","Client_Hash_9a60c589e0806871","usr_d941f6ab72e921fd@anon.sme","London","Silver","2024-01-15 10:00:00"
169,"CUST-00169","Client_Hash_9778e7e2110754f4","usr_f90ac9da3f812ba2@anon.sme","Manchester","Platinum","2024-01-15 10:00:00"
170,"CUST-00170","Client_Hash_5b75c43754fad21f","usr_36cad9d1dfd73845@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
171,"CUST-00171","Client_Hash_b98942641839fdad","usr_17025a5d315193a3@anon.sme","Bristol","Standard","2024-01-15 10:00:00"
172,"CUST-00172","Client_Hash_54e1a3e3ff3899c1","usr_02a2f2de1effd003@anon.sme","Edinburgh","Platinum","2024-01-15 10:00:00"
173,"CUST-00173","Client_Hash_4bafcd2b43f7ba92","usr_ad1fe599ab682b58@anon.sme","Birmingham","Silver","2024-01-15 10:00:00"
174,"CUST-00174","Client_Hash_0b62fe8e4d928183","usr_4c6c0d6e32bc5d3f@anon.sme","Manchester","Standard","2024-01-15 10:00:00"
175,"CUST-00175","Client_Hash_fad1ad3f4937c2b3","usr_0086db35ea492165@anon.sme","Bristol","Platinum","2024-01-15 10:00:00"
176,"CUST-00176","Client_Hash_03442bd5937b60d3","usr_d7b51445f9db9c56@anon.sme","Manchester","Silver","2024-01-15 10:00:00"
177,"CUST-00177","Client_Hash_abbbbeb42da1f418","usr_aca74f3bb0b565ca@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
178,"CUST-00178","Client_Hash_112e02a7a8a7fe72","usr_b9619159c456bb1a@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
179,"CUST-00179","Client_Hash_8fe46b749009dcdc","usr_fc0d394f863da766@anon.sme","Leeds","Gold","2024-01-15 10:00:00"
180,"CUST-00180","Client_Hash_9e13e3807afae397","usr_472ef578434a3dc6@anon.sme","London","Platinum","2024-01-15 10:00:00"
181,"CUST-00181","Client_Hash_ab2625ec83a84b1d","usr_df3af44db0193b62@anon.sme","London","Silver","2024-01-15 10:00:00"
182,"CUST-00182","Client_Hash_50f558367fe31185","usr_d4cf360729d6c05e@anon.sme","Bristol","Silver","2024-01-15 10:00:00"
183,"CUST-00183","Client_Hash_9f3a791f4cd72a30","usr_7661f6ce680e2652@anon.sme","Leeds","Platinum","2024-01-15 10:00:00"
184,"CUST-00184","Client_Hash_d0d357dfd0ef5991","usr_034df075ea345b13@anon.sme","Bristol","Gold","2024-01-15 10:00:00"
185,"CUST-00185","Client_Hash_579c96e942c955b6","usr_e1dd24bc0a1badd1@anon.sme","Leeds","Standard","2024-01-15 10:00:00"
186,"CUST-00186","Client_Hash_670b39abfd00ae71","usr_05e6a0b493077aac@anon.sme","London","Standard","2024-01-15 10:00:00"
187,"CUST-00187","Client_Hash_9465d5cf6ce116a5","usr_01e514a1f5564326@anon.sme","Glasgow","Gold","2024-01-15 10:00:00"
188,"CUST-00188","Client_Hash_ce56842479fa6284","usr_8bdaf9ae2a1ce99b@anon.sme","Manchester","Gold","2024-01-15 10:00:00"
189,"CUST-00189","Client_Hash_f628c3bfa4b6b7f8","usr_25ce50a42a926ba8@anon.sme","Manchester","Standard","2024-01-15 10:00:00"
190,"CUST-00190","Client_Hash_53c17e1d9cc59dc4","usr_bb07c0596b7030b9@anon.sme","London","Standard","2024-01-15 10:00:00"
191,"CUST-00191","Client_Hash_1d284b4c6eb04b2f","usr_c205b523668e41da@anon.sme","Birmingham","Standard","2024-01-15 10:00:00"
